ip_host,snmp,mac-address,hostname
172.16.0.109,,,
172.16.0.110,,00:e0:81:46:44:6d,blacksrv1.rud.ua
172.16.0.111,,90:2b:34:60:e5:ce,to2.rud.ua
172.16.0.112,,,ws94.rud.ua
172.16.0.113,,,
172.16.0.114,,c8:60:00:86:e6:39,glavbuh.rud.ua
172.16.0.115,"SNMPv2-MIB::sysDescr.0 = HP ETHERNET MULTI-ENVIRONMENT, ROM J.sp.00, JETDIRECT EX and JD28 EEPROM 5.58",00:17:c8:8f:20:23,KM8F2023
172.16.0.116,"SNMPv2-MIB::sysDescr.0 = Siemens, SIMATIC HMI, TP1500 Comfort, 6AV2 124-0QC02-0AX0, HW: 0, SW: V 13 0 1",28:63:36:60:af:c3,
172.16.0.117,,60:a4:4c:42:0e:76,ws109.rud.ua
172.16.0.118,,,kislomilk2.rud.ua
172.16.0.119,,,wp8.rud.ua
172.16.0.120,,,wp9.rud.ua
172.16.0.121,,,
172.16.0.122,,08:62:66:2d:c5:fa,ws2.rud.ua
172.16.0.123,,,matsklad.rud.ua
172.16.0.124,"SNMPv2-MIB::sysDescr.0 = Brother NC-8900h, Firmware Ver.Q  ,MID 8C5-J02,FID 2",3c:2a:f4:2e:f8:26,BRN3C2AF42EF826
172.16.0.125,,c8:60:00:86:27:8c,ws108.rud.ua
172.16.0.126,,,tehdir.rud.ua
172.16.0.127,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:92:99:9d,PRINTRND
172.16.0.128,,,ws49.rud.ua
172.16.0.129,,60:a4:4c:af:09:07,ws74.rud.ua
172.16.0.130,,40:b0:76:db:1c:d5,ws70.rud.ua
172.16.0.131,,88:d7:f6:ce:df:2e,ws33.rud.ua
172.16.0.132,,,marketing.rud.ua
172.16.0.133,,,wp6.rud.ua
172.16.0.134,,f4:6d:04:e4:db:06,ws65.rud.ua
172.16.0.135,,,buh3.rud.ua
172.16.0.136,,00:23:54:ce:e6:93,himlab.rud.ua
172.16.0.137,,,
172.16.0.138,,,
172.16.0.139,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:c0:ee:b0:18:bc,pr10.rud.ua
172.16.0.140,,a8:5e:45:e5:c5:cd,ws107.rud.ua
172.16.0.141,,0c:9d:92:7a:43:a0,ws78.rud.ua
172.16.0.142,,,
172.16.0.143,,e0:3f:49:10:c7:bd,buh5.rud.ua
172.16.0.144,,,
172.16.0.145,,5c:f3:fc:a6:ad:ac,qlikview.rud.ua
172.16.0.146,SNMPv2-MIB::sysDescr.0 = KYOCERA MITA Printing System,00:c0:ee:7f:58:72,pr7.rud.ua
172.16.0.147,,,
172.16.0.148,,60:a4:4c:52:61:98,nachdp.rud.ua
172.16.0.149,,bc:ae:c5:bd:88:5a,angel2.rud.ua
172.16.0.150,,00:11:32:53:95:79,wiki.rud.ua
172.16.0.151,,40:16:7e:a6:66:71,ecolog.rud.ua
172.16.0.152,,,
172.16.0.153,,,
172.16.0.154,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:98:fc:51,KM98FC51
172.16.0.155,,,
172.16.0.156,,,logist-new.rud.ua
172.16.0.157,,40:b0:76:47:65:80,ws63.rud.ua
172.16.0.158,,,ws62.rud.ua
172.16.0.159,,,
172.16.0.160,,,
172.16.0.161,,,dvr3.rud.ua
172.16.0.162,,60:a4:4c:42:0d:60,ws83.rud.ua
172.16.0.163,,,iso1.rud.ua
172.16.0.164,,,dev2.rud.ua
172.16.0.165,,,pr8.rud.ua
172.16.0.166,,,plan1.rud.ua
172.16.0.167,,,wp10.rud.ua
172.16.0.168,,,
172.16.0.169,,,ws77.rud.ua
172.16.0.170,,,ws84.rud.ua
172.16.0.171,,,
172.16.0.172,,88:d7:f6:c6:cd:2b,propusk.rud.ua
172.16.0.173,,e4:1e:0a:00:5a:8c,wp13.rud.ua
172.16.0.174,,e4:1e:0a:00:02:a1,
172.16.0.175,"SNMPv2-MIB::sysDescr.0 = HP ETHERNET MULTI-ENVIRONMENT,SN:CNBW79225V,FN:JK428N7,SVCID:17315,PID:HP LaserJet P2015 Series",00:1a:4b:30:a5:76,NPI30A576
172.16.0.176,,,
172.16.0.177,,,
172.16.0.178,,0c:9d:92:be:25:51,ws66.rud.ua
172.16.0.179,,f0:79:59:96:15:4b,cafe4.rud.ua
172.16.0.180,,,
172.16.0.181,,,
172.16.0.182,,d4:5d:64:7f:14:36,to.rud.ua
172.16.0.183,,60:a4:4c:ae:8f:9c,ws87.rud.ua
172.16.0.184,,3c:7c:3f:bc:04:47,ws118.rud.ua
172.16.0.185,,,go.rud.ua
172.16.0.186,,f0:2f:74:1a:98:f2,ws122.rud.ua
172.16.0.187,,,dvr2.rud.ua
172.16.0.188,,,dvr1.rud.ua
172.16.0.189,,,ohorona.rud.ua
172.16.0.190,,00:0c:29:e6:07:0c,fs.rud.ua
172.16.0.191,,3c:7c:3f:bc:03:93,ws119.rud.ua
172.16.0.192,,0c:9d:92:1c:23:6e,ws53.rud.ua
172.16.0.193,,00:0c:29:c5:44:3f,mw.rud.ua
172.16.0.194,,ec:43:f6:db:3c:2d,wp16.rud.ua
172.16.0.195,,,
172.16.0.196,,,nachgruz.rud.ua
172.16.0.197,,,wp20.rud.ua
172.16.0.198,,,
172.16.0.199,,,boss.rud.ua
172.16.0.200,SNMPv2-MIB::sysDescr.0 = Linux TS-412 4.3.3,00:08:9b:d0:2d:80,backup.rud.ua
172.16.0.201,,74:d0:2b:ca:fc:5d,med.rud.ua
172.16.0.202,,4c:5e:0c:47:6a:c2,
172.16.0.203,,,glavbuh1.rud.ua
172.16.0.204,SNMPv2-MIB::sysDescr.0 = 10/100 8-Port VPN Router,7c:ad:74:18:20:40,vpn.rud.ua
172.16.0.205,,40:16:7e:65:3b:f3,energosrv.rud.ua
