ip_host,snmp,mac-address,hostname
172.16.1.222,,f4:03:43:3d:0a:e4,
172.16.1.223,,00:0c:29:8b:4d:b4,acr.rud.ua
172.16.1.224,,10:7b:44:51:e8:92,ws41.rud.ua
172.16.1.225,,,blacksrv1test.rud.ua
172.16.1.226,,,
172.16.1.227,,,
172.16.1.228,,00:0c:29:de:57:6a,msrv.rud.ua
172.16.1.229,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:70:49:74,KM704974
172.16.1.230,,00:04:fc:40:c1:02,UARUDDB
172.16.1.231,,b0:6e:bf:83:ab:a5,tech7.rud.ua
172.16.1.232,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:c0:ee:38:94:b9,
172.16.1.233,,,
172.16.1.234,,,
172.16.1.235,,38:d5:47:78:51:f3,ws42.rud.ua
172.16.1.236,,,
172.16.1.237,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:38:6b:04,
172.16.1.238,,b0:6e:bf:83:ac:67,ws43.rud.ua
172.16.1.239,,,ws43-xp.rud.ua
172.16.1.240,,e0:07:1b:ec:8f:a6,
172.16.1.241,,94:18:82:69:b5:38,vm1.rud.ua
172.16.1.242,,00:0c:29:8f:c9:b7,navapp.rud.ua
172.16.1.243,,00:0c:29:e4:a5:d0,navdb.rud.ua
172.16.1.244,,,navweb.rud.ua
172.16.1.245,,c8:60:00:bd:79:f0,ws44.rud.ua
172.16.1.246,,,ws44-xp.rud.ua
172.16.1.247,,00:01:29:92:ea:e4,DYLOG-PC
172.16.1.248,,00:ad:24:ea:20:95,buh8.rud.ua
172.16.1.249,SNMPv2-MIB::sysDescr.0 = Honeywell PM42;L10.15.017559,00:0d:70:fa:63:3e,
172.16.1.250,,00:0c:29:de:36:27,navinno.rud.ua
172.16.1.251,,44:39:c4:6d:68:72,
172.16.1.252,,d4:f5:ef:25:60:9f,
172.16.1.253,,e4:1e:0a:00:5f:07,
172.16.1.254,,d4:f5:ef:5d:d6:d3,ws61.rud.ua
172.16.1.255,,,
